id,name,url,router,cover,rating,developer,released,updated,technology,platform,classification,class,wiki,description,tags,embed
448,Horde Killer,https://www.crazygames.com/game/horde-killer-you-vs-100,horde-killer-you-vs-100,https://images.crazygames.com/horde-killer-you-vs-100/20220415084727/horde-killer-you-vs-100-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9,GoGoMan,April 2022,,HTML5 (Unity WebGL),Browser (desktop-only),Games » Shooting » Action » Killing,Shooting,,"Horde Killer: You vs 100 is a chaotic survival game where you face a vast horde of zombies determined to kill. Shoot them, blow them to pieces - do whatever it takes to avoid being mauled. Buy a range of new weapons and outfits for an explosively stylish apocalypse scenario.","Shooting, Arena, Third Person Shooter, Zombie, Gun, Survival, Killing",https://www.crazygames.com/embed/horde-killer-you-vs-100
449,Senya and Oscar 2,https://www.crazygames.com/game/senya-and-oscar-2,senya-and-oscar-2,https://images.crazygames.com/senya-and-oscar-2/20210611105323/senya-and-oscar-2-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9.4,dennatolich,June 2021,,HTML5 (Unity WebGL),"Browser (desktop-only),App Store(Android)",Games » Adventure » Battle,Adventure,,"Senya and Oscar 2 is an action-adventure game of two friends, a brave knight and a cute magical cat.","Adventure, Battle, Cute, Monster, Cat",https://www.crazygames.com/embed/senya-and-oscar-2
450,Castle Wars Middle Ages,https://www.crazygames.com/game/castle-wars-middle-ages,castle-wars-middle-ages,https://images.crazygames.com/games/castle-wars-middle-ages/cover-1618573385429.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.9,RHM Interactive,April 2021,March 2023,HTML5,Browser (desktop-only),Games » Action » Battle,Action,,,"Action, Cannon, Pixel, 2 Player, Battle, Zombie, 2D, Survival",https://www.crazygames.com/embed/castle-wars-middle-ages
451,Mine to the Last,https://www.crazygames.com/game/mine-to-the-last,mine-to-the-last,https://images.crazygames.com/mine-to-the-last/20200815082617/mine-to-the-last-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9.3,MinimunStudios,August 2020,,HTML5,Browser (desktop-only),Games » Clicker » Arcade » Mining,Clicker,,,"Clicker, Mining, Side Scrolling, Platform, 2D, Incremental",https://www.crazygames.com/embed/mine-to-the-last
452,The Speedy Golf,https://www.crazygames.com/game/speedy-golf,speedy-golf,https://images.crazygames.com/speedy-golf_16x9/20241028084553/speedy-golf_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8,UnitRadius,May 2020,October 2024,HTML5 (Unity WebGL),"Browser (desktop,mobile,tablet),App Store(iOS,Android)",Games » Sports » Golf,Sports,,The Speedy Golf is a mouse-only golf game. Aim carefully and get fantastic scores.,"Sports, 1 Player, Golf, Simulation, Physics, Mouse",https://www.crazygames.com/embed/speedy-golf
453,Greedy Dwarves,https://www.crazygames.com/game/greedy-dwarves,greedy-dwarves,https://images.crazygames.com/greedy-dwarves-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9.4,BEAVER PROJECT,January 2020,,HTML5 (Unity WebGL),"Browser (desktop-only),App Store(Android)",Games » Clicker » Incremental,Clicker,,,"Clicker, 1 Player, Incremental, Collect, Idle",https://www.crazygames.com/embed/greedy-dwarves
454,Cannon Balls 3D,https://www.crazygames.com/game/cannon-balls-3d,cannon-balls-3d,https://images.crazygames.com/cannon-balls-3d/20230719153849/cannon-balls-3d-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.9,Famobi,December 2019,July 2023,HTML5,"Browser (desktop,mobile,tablet)",Games » Casual » Cannon,Casual,,"Cannon Balls 3D is an exciting casual game that puts your aiming skills to the test. Wield the cannon to demolish all objects in your path, but beware, as you only have a limited number of cannonballs at your disposal. Plan your shots wisely to maximize the impact and clear each level. Can you skillfully bring down all the targets with the available cannonballs? Show off your precision and enjoy the thrilling challenge of Cannon Balls 3D!","Casual, Cannon, Destroy, Physics, Ball",https://www.crazygames.com/embed/cannon-balls-3d
455,Gold Digger FRVR,https://www.crazygames.com/game/gold-digger-frvr,gold-digger-frvr,https://images.crazygames.com/games/gold-digger-frvr/cover-1608107647188.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9.2,Chris Benjaminsen,March 2019,,HTML5,"Browser (desktop,mobile,tablet)",Games » Casual » Arcade » Mining,Casual,Fandom,"Gold Digger FRVR is 2D mining game from the FRVR developers. In the game, you must dig underground and attempt to find hidden gems and precious metals.","Casual, Mobile, Mining, 2D",https://www.crazygames.com/embed/gold-digger-frvr
456,Sandspiel,https://www.crazygames.com/game/sandspiel,sandspiel,https://images.crazygames.com/sandspiel.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9.2,,,,HTML5,"Browser (desktop,mobile,tablet)",Games » Puzzle » Sandbox,Puzzle,,Sandspiel is a  creative game  where you build unique environments from elements that react with each other. Use your imagination and see what fascinating reactions you can create in this fun pixelated game!,"Puzzle, Sandbox, Pixel, Simulation, Relaxing, Art",https://www.crazygames.com/embed/sandspiel
457,Hearts Classic,https://www.crazygames.com/game/hearts-classic,hearts-classic,https://images.crazygames.com/games/hearts-classic/cover-1626935362814.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.2,,,,HTML5,"Browser (desktop,mobile,tablet)",Games » Casual » Puzzle » Card,Casual,,"Hearts: Classic is an online version of the traditional card in which you are trying to avoid scoring points as the game ends when a player reaches 100 points. If you are new to the game of Hearts, then there is a handy rulebook that helps you through the game teaching you tips and how to avoid losing the game.","Casual, Card, Logic",https://www.crazygames.com/embed/hearts-classic
458,My Pet Care Salon,https://www.crazygames.com/game/my-pet-care-salon,my-pet-care-salon,https://images.crazygames.com/my-pet-care-salon_16x9/20241010063817/my-pet-care-salon_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9,,,,HTML5,"Browser (desktop,mobile,tablet)",Games » Casual » Cute » Animal,Casual,,"My Pet Care Salon is a casual, cute game that lets you manage your very own pet spa, where you can groom, pamper, and style an adorable array of pets. Relax to a variety of engaging, interactive activities, from luxurious bath times to precise nail trimming and trendy haircuts, ensuring each furry client receives top-notch care and attention. As you manage your bustling salon, you'll get to show off your style skills with fashionable accessories while earning rewards for outstanding service. Create a warm and welcoming atmosphere for pets and their owners.","Casual, Dress Up, Mobile, Business, Cute, Animal, Mouse, Management",https://www.crazygames.com/embed/my-pet-care-salon
459,Street Fighter Simulator,https://www.crazygames.com/game/street-fighter-simulator,street-fighter-simulator,https://images.crazygames.com/street-fighter-simulator_16x9/20241113071604/street-fighter-simulator_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.1,Tearforge Studios,November 2024,November 2024,HTML5 (Unity WebGL),"Browser (desktop,mobile,tablet)",Games » Action » Fighting,Action,,"Street Fighter Simulator is an action-packed fighting game where you rise through the ranks by mastering your combat skills, unlocking new abilities, and battling fierce opponents in dynamic and immersive environments. Whether you’re in Arcade Mode enjoying custom battles or in Career Mode earning your place as a champion, every fight brings you closer to becoming the Ultimate Street Fighter.","Action, Mobile, 3D, Simulation, Physics, Fighting",https://www.crazygames.com/embed/street-fighter-simulator
460,Spider Evolution Runner Game,https://www.crazygames.com/game/spider-evolution-runner-game,spider-evolution-runner-game,https://images.crazygames.com/spider-evolution-runner-game_16x9/20241024022153/spider-evolution-runner-game_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9.1,Tariq Mehmood,September 2024,October 2024,HTML5 (Unity WebGL),"Browser (desktop-only),App Store(Android)",Games » Casual » Monster,Casual,,"Spider Evolution: Runner Game is a thrilling game where you begin as a tiny spider, racing along a vibrant track to grow stronger with every step. Your mission is to evolve into the most powerful spider by overcoming challenges and obstacles. Test your survival skills and watch your spider transform in this exciting adventure.","Casual, Grow, Avoid, 3D, Battle, Running, Monster, Obstacle, Collect",https://www.crazygames.com/embed/spider-evolution-runner-game
461,Blogger Clicker,https://www.crazygames.com/game/blogger-clicker,blogger-clicker,https://images.crazygames.com/blogger-clicker_16x9/20240819041455/blogger-clicker_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9.3,Desire Games,August 2024,August 2024,HTML5 (Unity WebGL),"Browser (desktop,mobile,tablet)",Games » Clicker » Incremental,Clicker,,"Blogger Clicker is an engaging clicker game where you start as a budding blogger, creating engaging videos on various topics like gaming, music, tech, and more to gain fame. As you grow your audience, upgrade your equipment and aim to surpass top popular bloggers. Every click helps you gain subscribers, climb the ranks, and become the ultimate internet sensation.","Clicker, Mobile, Simulation, Incremental, Mouse, Idle",https://www.crazygames.com/embed/blogger-clicker
462,Cryptoword,https://www.crazygames.com/game/cryptoword,cryptoword,https://images.crazygames.com/cryptoword_16x9/20240626053927/cryptoword_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.2,Astetrio,June 2024,July 2024,HTML5,"Browser (desktop,mobile,tablet)",Games » Puzzle » Word,Puzzle,,"Cryptoword is a word game that takes you on an epic journey through enchanted realms. Tackle challenging puzzles, face formidable foes, and discover hidden treasures. Every level is packed with new surprises and thrills, ensuring you stay engaged and excited. Dive into this mesmerizing world and become the ultimate adventurer.","Puzzle, Mobile, Word, 2D, Logic, Brain",https://www.crazygames.com/embed/cryptoword
463,Idle Crafting Empire Tycoon,https://www.crazygames.com/game/idle-crafting-empire-tycoon,idle-crafting-empire-tycoon,https://images.crazygames.com/idle-crafting-empire-tycoon_16x9/20240523050405/idle-crafting-empire-tycoon_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.8,Hako Games,May 2024,June 2024,HTML5,"Browser (desktop,mobile,tablet),App Store(Android)",Games » Clicker » Idle,Clicker,,"Idle Crafting Empire Tycoon is an economic simulator game where you manage an island empire. As the ruler, explore the island, discover resources, and craft items. Hire managers and traders to boost profits and upgrade factories to optimize production. Fulfill orders for rewards and build an empire known throughout the fantastical world!","Clicker, Business, 2D, Incremental, Mouse, Management, Idle",https://www.crazygames.com/embed/idle-crafting-empire-tycoon
464,King s Landing Arcade Idle,https://www.crazygames.com/game/king-s-landing---arcade-idle,king-s-landing---arcade-idle,https://images.crazygames.com/king-s-landing---arcade-idle_16x9/20240305040154/king-s-landing---arcade-idle_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9.2,Creauctopus,March 2024,,HTML5 (Unity WebGL),"Browser (desktop-only),App Store(Android)",Games » Casual » Clicker » Idle,Casual,,"King's Landing - Arcade Idle is a casual game where the excitement of medieval kingdom-building meets the leisurely pace of idle games. In this captivating adventure, you'll embark on a journey to establish and customize your castle, explore a vast and enchanting realm, and manage resources effortlessly—all through strategic idle gameplay. Get ready to embrace the relaxed conquest as you automate your rise to power and become the ruler of a mighty empire!","Casual, Simulation, Building, Management, Arcade, Idle",https://www.crazygames.com/embed/king-s-landing---arcade-idle
465,Emerland Solitaire Card Game,https://www.crazygames.com/game/emerland-solitaire-card-game,emerland-solitaire-card-game,https://images.crazygames.com/emerland-solitaire-card-game_16x9/20240924024822/emerland-solitaire-card-game_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9,Rainbow Games LLc,February 2024,September 2024,HTML5 (Unity WebGL),"Browser (desktop-only),App Store(Android)",Games » Puzzle » Card » Solitaire,Puzzle,,"Emerland Solitaire Card Game is your gateway to a magical realm where mighty mages vie for the ancient magic of Cards. Join a noble Knight, an Elven Archeress, and a mystical Sorceress in battling the malevolent Dark Master. Solve puzzles, collect combinations, and brave challenging levels. Learn the mysteries of magical Solitaire, prove your skills, and face trials at the card table. With classic rules, hundreds of levels, and a captivating fantasy tale, this game promises an enthralling adventure into the enchanting world of Solitaire!","Puzzle, Solitaire, Card, 2D, Logic, Mouse",https://www.crazygames.com/embed/emerland-solitaire-card-game
466,Grimdark Survivors,https://www.crazygames.com/game/grimdark-survivors,grimdark-survivors,https://images.crazygames.com/grimdark-survivors_16x9/20231205084255/grimdark-survivors_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.9,HITyara Games,November 2023,October 2024,HTML5,"Browser (desktop,mobile,tablet),Steam",Games » Action » Survival,Action,,"Grimdark Survivors is an adrenaline-pumping roguelite game where you have to survive an alien attack. Choose your hero, arm yourself, and prepare to face the relentless darkness. Each hero offers a unique playing style so that each game will feel fresh and exciting. There are many choices of weapons to choose such as precision assault rifles to flamethrowers! Experiment, strategize, and find the perfect weapon that suits your style to conquer the darkness. You will not only face waves of enemies but also tough bosses that will test your braveness. Use the skills and equipment you acquire to achieve victory.","Action, Horde Survival, Top-Down, Arena, Roguelike, 2D, Survival, Skill, Arcade",https://www.crazygames.com/embed/grimdark-survivors
467,Empire Clicker,https://www.crazygames.com/game/empire-clicker,empire-clicker,https://images.crazygames.com/empire-clicker_16x9/20240709033436/empire-clicker_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9,oscar tulkens,September 2023,July 2024,HTML5 (Unity WebGL),"Browser (desktop-only),App Store(iOS,Android)",Games » Clicker » Idle,Clicker,,"Empire Clicker is a clicker game where you transform an empty plot of land into a thriving metropolis. Unleash your city-building skills as your settlement evolves into a bustling, dynamic cityscape.","Clicker, Story, Building, Incremental, Mouse, Idle",https://www.crazygames.com/embed/empire-clicker
468,Murder Mafia,https://www.crazygames.com/game/murder-mafia,murder-mafia,https://images.crazygames.com/murder-mafia_16x9/20230915113149/murder-mafia_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9,Go Panda Games,August 2023,July 2024,HTML5,"Browser (desktop,mobile,tablet),App Store(iOS,Android)",Games » Casual » Action » Killing,Casual,,"Murder Mafia is a fun, one-button casual game that will keep you entertained for hours. Your mission? Take down the notorious mafia boss, the Don—but beware of sneaky traitors lurking in the shadows! Explore unpredictable scenarios and unlock them all as you hone your skills in the art of deception. Sometimes, you are deceiving, but most of the time, you will be deceived. Can you outsmart the mafia and rise to the top?","Casual, One Button, Story, Side Scrolling, 2D, Mouse, Killing",https://www.crazygames.com/embed/murder-mafia
469,Tile Journey,https://www.crazygames.com/game/tile-journey,tile-journey,https://images.crazygames.com/tile-journey_16x9/20231107045402/tile-journey_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.7,Famobi,August 2023,November 2023,HTML5,"Browser (desktop,mobile,tablet)",Games » Casual » Puzzle » Match 3,Casual,,"Tile Journey is a Match 3 puzzle game that tests your strategic skills. Take advantage of the seven empty slots to match three of the same tiles. But, be careful because failing to make a trio in all slots will end the game!","Casual, Mobile, Match 3, Mouse, Arcade",https://www.crazygames.com/embed/tile-journey
470,Idle Inventor,https://www.crazygames.com/game/idle-inventor,idle-inventor,https://images.crazygames.com/idle-inventor_16x9/20230925161528/idle-inventor_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.5,BoomBit,October 2023,,HTML5 (Unity WebGL),"Browser (desktop,mobile,tablet),App Store(iOS,Android)",Games » Clicker » Idle,Clicker,,"Idle Inventor is an idle game where you can build and expand your industrial empire, becoming a titan of heavy machinery and industry. Manage 5 unique factories with various vehicles, including cars, planes, and spacecraft. Hire managers, automate production lines, and complete exciting missions to grow your factory and earn profits even while you're away. Experience the thrill of being an idle tycoon and watch your empire flourish in this addictive and rewarding game!","Clicker, 3D, Top-Down, Business, Incremental, Tycoon, Mouse, Idle",https://www.crazygames.com/embed/idle-inventor
471,Traffic Cop 3D,https://www.crazygames.com/game/traffic-cop-3d,traffic-cop-3d,https://images.crazygames.com/traffic-cop-3d/20230504084423/traffic-cop-3d-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9.2,Kwalee Ltd,May 2023,,HTML5 (Unity WebGL),"Browser (desktop-only),App Store(iOS,Android)",Games » Casual » Driving » Police,Casual,,"Traffic Cop 3D is a casual game where you play as a police officer enforcing the law of the road. Scan nearby drivers and use intel from the police database to decide whether you should pull them over, or let them go, all while progressing through the story and increasing your duties as a cop.","Casual, Simulation, Car, Traffic, Police",https://www.crazygames.com/embed/traffic-cop-3d
472,Shepherd Farm,https://www.crazygames.com/game/shepherd-farm,shepherd-farm,https://images.crazygames.com/shepherd-farm/20221208110419/shepherd-farm-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9.5,Izyplay Game Studio,December 2022,February 2023,HTML5 (Unity WebGL),"Browser (desktop-only),App Store(Android)",Games » Casual » Cute » Animal » Dog,Casual,,"Shepherd Farm is a business game where you play as a loyal shepherd's dog who helps to run the sheep farm. The customers want wool yarns, and the demand is increasing! Shepherd your herd, shear that fluffy wool, and process them into wool skeins to grow your business! A shepherd's life was never that easy! Grow your own fluffy business!","Casual, Farming, Business, Dog, Animal",https://www.crazygames.com/embed/shepherd-farm
473,UFO Jigsaw Puzzle,https://www.crazygames.com/game/ufo-jigsaw,ufo-jigsaw,https://images.crazygames.com/games/ufo-jigsaw/cover-1662980238062.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.9,,,,HTML5,"Browser (desktop,mobile,tablet)",Games » Puzzle » Jigsaw,Puzzle,,UFO Jigsaw Puzzle is a fun jigsaw puzzle game where you need to put together the puzzle pieces to assemble a complete sci-fi UFO picture.,"Puzzle, Jigsaw, Logic, Mouse",https://www.crazygames.com/embed/ufo-jigsaw
474,Oil Painting Jigsaw,https://www.crazygames.com/game/oil-painting-jigsaw,oil-painting-jigsaw,https://images.crazygames.com/games/oil-painting-jigsaw/cover-1662489116155.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.8,,,,HTML5,"Browser (desktop,mobile,tablet)",Games » Puzzle » Jigsaw,Puzzle,,Oil Painting Jigsaw is a fun jigsaw puzzle game where you need to put together the puzzle pieces to assemble a complete beautiful landscape picture.,"Puzzle, Jigsaw, 2D, Logic, Mouse",https://www.crazygames.com/embed/oil-painting-jigsaw
475,CyberDino,https://www.crazygames.com/game/cyberdino-t-rex-vs-robots,cyberdino-t-rex-vs-robots,https://images.crazygames.com/cyberdino-t-rex-vs-robots/20210917083046/cyberdino-t-rex-vs-robots-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9.5,,March 2023,,HTML5 (Unity WebGL),"Browser (desktop,mobile,tablet),App Store(iOS,Android)",Games » Action » Cute » Animal » Dinosaur,Action,,"CyberDino: T-Rex vs Robots is a side-scrolling action game featuring futuristic cyber dinosaur battles. Fight against various monsters and robots, upgrade your gear, and become the ultimate CyberDino.","Action, Dinosaur, Side Scrolling, 2D, Arcade, Robot",https://www.crazygames.com/embed/cyberdino-t-rex-vs-robots
476,Castle Wars New Era,https://www.crazygames.com/game/castel-wars-new-era,castel-wars-new-era,https://images.crazygames.com/castel-wars-new-era/20230310115751/castel-wars-new-era-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.9,RHM Interactive,September 2021,March 2023,HTML5,Browser (desktop-only),Games » Action » Multiplayer » 2 Player,Action,,"New Era is a more modernized version with industrial weapons and equipment episode of the Castle Wars series, a 2-player castle battle game.","Action, Pixel, 2 Player, Battle, Zombie, 2D, Survival",https://www.crazygames.com/embed/castel-wars-new-era
477,Game Cafe Escape,https://www.crazygames.com/game/game-cafe-escape,game-cafe-escape,https://images.crazygames.com/game-cafe-escape/20210609123045/game-cafe-escape-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.4,masasgames,June 2021,,HTML5 (Unity WebGL),"Browser (desktop,mobile,tablet),App Store(iOS,Android)",Games » Adventure » Point and Click,Adventure,,Game Cafe Escape is another room escape game from masasgames. This time you have to solve puzzles and escape from a beautifully designed game cafe.,"Adventure, Point and Click, Escape, Japanese, Logic",https://www.crazygames.com/embed/game-cafe-escape
478,Merge to Million,https://www.crazygames.com/game/merge-to-million,merge-to-million,https://images.crazygames.com/merge-to-million/20210602130920/merge-to-million-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.7,adgard,June 2021,,HTML5,"Browser (desktop,mobile,tablet)",Games » Puzzle,Puzzle,,Merge to Million is a blocks-combining game with an objective to reach one million in number!,"Puzzle, Connect, Tetris, Merge",https://www.crazygames.com/embed/merge-to-million
479,SpiderDoll,https://www.crazygames.com/game/spiderdoll,spiderdoll,https://images.crazygames.com/spiderdoll/20210203164846/spiderdoll-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.7,,,,HTML5 (Unity WebGL),"Browser (desktop,mobile,tablet),App Store(iOS,Android)",Games » Action » Spiderman,Action,,"SpiderDoll is a Spider Rope Hero game. Swing through New York City wrapping bad guys in your web and getting closer to saving Mary. Escape OctoPuppet and battle Green Goblin using your SpiderDoll abilities. Run, swing, and shoot your way through the city!","Action, Spiderman, Escape, Difficult, Physics, 2D, Skill, Ragdoll",https://www.crazygames.com/embed/spiderdoll
480,My Sugar Factory 2,https://www.crazygames.com/game/my-sugar-factory-2,my-sugar-factory-2,https://images.crazygames.com/my-sugar-factory-2/20210107065720/my-sugar-factory-2-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9,Vad Games,January 2021,,HTML5,"Browser (desktop,mobile,tablet)",Games » Clicker,Clicker,,,"Clicker, Farming, Incremental, Mouse, Idle",https://www.crazygames.com/embed/my-sugar-factory-2
481,WarCall io,https://www.crazygames.com/game/warcall-io,warcall-io,https://images.crazygames.com/games/warcall-io/cover-1604914734657.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.8,Night Steed Games,November 2020,,HTML5,"Browser (desktop,mobile,tablet)",Games » .io » Battle Royale,.io,,WarCall.io is an IO fantasy battle royale game where champions battle in a large multiplayer arena using various melee weapons.,".io, Battle, Battle Royale, Mouse, Collect",https://www.crazygames.com/embed/warcall-io
482,Ultimate Truck Driving Simulator 2020,https://www.crazygames.com/game/ultimate-truck-driving-simulator-2020,ultimate-truck-driving-simulator-2020,https://images.crazygames.com/ultimate-truck-driving-simulator-2020/20210219105520/ultimate-truck-driving-simulator-2020-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.9,BoneCracker Games,March 2021,,HTML5 (Unity WebGL),"Browser (desktop-only),App Store(Android)",Games » Driving » Truck,Driving,,This is an interactive  truck driving  simulator game. Drive a truck loaded up with cargo and transport it to the given point. Can you complete the missions like a pro?,"Driving, Truck, 3D, Simulation, Traffic, Mission",https://www.crazygames.com/embed/ultimate-truck-driving-simulator-2020
483,Backgammon Online,https://www.crazygames.com/game/classic-backgammon,classic-backgammon,https://images.crazygames.com/games/classic-backgammon/cover_16x9-1707829263148.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,7.4,,,,HTML5,"Browser (desktop,mobile,tablet)",Games » Casual » Board,Casual,Wikipedia,"Backgammon Online is a casual game adapted from the original board game for online players. This is a game of logic that allows you to play the classic and ancient board game of backgammon against other players worldwide. This game has been around for years, almost 5000 to be exact, and this classic title has all of the standard gameplay and rules.","Casual, 2 Player, Classic, Board, Multiplayer",https://www.crazygames.com/embed/classic-backgammon
484,Color Pixel Art Classic,https://www.crazygames.com/game/color-pixel-art-classic,color-pixel-art-classic,https://images.crazygames.com/color-pixel-art-classic_16x9/20240327021748/color-pixel-art-classic_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.8,Famobi,March 2018,April 2024,HTML5,"Browser (desktop,mobile,tablet),App Store(Android)",Games » Casual » Art » Coloring,Casual,,"Color Pixel Art Classic is a cool pixel-based casual art drawing game where precision and creativity meet. Choose from a wide selection of images to fill them in to become colorful masterpieces! Select the right hues, and aim to recreate each image with perfect accuracy. Whether you're working on a beginner-friendly design with just a few colors or tackling a more advanced piece with a wide range of shades, Color Pixel Art Classic is a perfect way to hone in on your digital art skills, perfect for all levels.","Casual, Pixel, Coloring, Color, 2D, Animal, Mouse, Art",https://www.crazygames.com/embed/color-pixel-art-classic
485,3D Moto Simulator 2,https://www.crazygames.com/game/3d-moto-simulator-2,3d-moto-simulator-2,https://images.crazygames.com/3dmotosimulator2.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.9,Faramel Games,January 2018,,HTML5 (Unity WebGL),Browser (desktop-only),Games » Driving » Bike,Driving,,"3D Moto Simulator 2 is an awesome and fast-paced motorbike racing game in which you can test your driving skills on a series of cool cross and trials bikes. Choose your motorbike and then jump on and enter the map! Different bikes available include cross bikes, trials bikes, or even a powerful police bike!","Driving, 3D, Bike, Dirt Bike, Police",https://www.crazygames.com/embed/3d-moto-simulator-2
486,Smarty Bubbles,https://www.crazygames.com/game/smarty-bubbles,smarty-bubbles,https://images.crazygames.com/games/smarty-bubbles/cover_16x9-1707829740631.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,7.8,Famobi,May 2016,May 2023,HTML5,"Browser (desktop,mobile,tablet)",Games » Casual » Puzzle » Match 3 » Bubble Shooter,Casual,,"Smarty Bubbles is a match-3 bubble shooting game with fun and relaxing gameplay. Shoot the bubbles at the matching colors and enjoy popping them all away. Your urge to pop bubbles will be satisfied by playing this game for free, here.","Casual, Mobile, Color, Bubble Shooter, Skill, Arcade",https://www.crazygames.com/embed/smarty-bubbles
487,Happy Town,https://www.crazygames.com/game/happy-town,happy-town,https://images.crazygames.com/happy-town_16x9/20241107042212/happy-town_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.1,Mirra Games,November 2024,,HTML5,"Browser (desktop,mobile,tablet),App Store(Android)",Games » Casual » Merge,Casual,,"Happy Town invites you to step into the role of mayor and create a bustling, joyful city through the magic of merging! Combine items to unlock new objects, upgrade buildings, and fulfill tasks for residents as you expand your city and make everyone happy. With a bright visual style, an upbeat soundtrack, and lively citizens to meet, Happy Town offers a cheerful, engaging gameplay experience.","Casual, Mobile, Building, Mouse, Merge",https://www.crazygames.com/embed/happy-town
488,Stickman Dinosaur arena,https://www.crazygames.com/game/stickman-dinosaur-arena,stickman-dinosaur-arena,https://images.crazygames.com/stickman-dinosaur-arena_16x9/20240925084541/stickman-dinosaur-arena_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9.1,GamePush,September 2024,November 2024,HTML5 (Unity WebGL),"Browser (desktop,mobile,tablet)",Games » Casual » Cute » Animal » Dinosaur,Casual,,"Stickman: Dinosaur Arena is a casual game where you lead a squad of powerful dinosaurs into battle. Strengthen your team, unlock new species, and upgrade your current lineup to dominate the battlefield. Push your limits and rise through the ranks to become the ultimate Dino Commander!","Casual, Mobile, Dinosaur, Battle, Arena, Animal, Stickman, Arcade, Killing",https://www.crazygames.com/embed/stickman-dinosaur-arena
